Date,ticker,Daily Average Sentiment,Sentiment,Next Day Ticker Price Change Direction,5 Day Ticker Price Change Direction
2017-02-19,MOMO,-0.7648529110946971,-0.7648529110946971,1,1
2017-03-21,CATB,0.06848790900690305,0.06848790900690305,0,0
2017-03-24,HTGM,0.1896439758514724,-0.5461426033040966,0,0
2017-03-24,NVCN,0.1896439758514724,0.9254305550070414,0,0
2017-03-27,APOP,0.2753514150311769,0.49798469462339523,0,0
2017-03-27,NAKD,0.2753514150311769,-0.1699151441532598,0,0
2017-03-30,GAIN,0.03626673087808219,0.9791281947618822,0,0
2017-03-30,IDXG,0.03626673087808219,-0.9065947330057178,1,0
2017-04-04,NSPR,0.122471601756041,0.122471601756041,0,0
2017-04-07,TOPS,0.20022581994985322,0.20022581994985322,1,0
2017-04-21,LIVE,-0.44832771582767683,-0.44832771582767683,1,1
2017-04-26,AKBA,0.856267709096938,0.7556394405343017,1,0
2017-04-26,TMUS,0.856267709096938,0.9568959776595742,0,0
2017-05-02,AUPH,-0.6524263719217154,-0.6524263719217154,0,0
2017-05-15,LIVE,0.6170715015839965,0.6170715015839965,1,1
2017-05-18,FOSL,0.9392675343434618,0.9392675343434618,1,1
2017-05-23,LIVE,-0.2931771613250669,-0.2931771613250669,1,1
2017-06-03,TIPS,-0.7856957093218253,-0.7856957093218253,0,0
2017-06-10,AMZN,-0.11241459659051778,-0.15253626304685208,0,0
2017-06-10,NVDA,-0.11241459659051778,-0.07229293013418348,1,1
2017-06-16,TIPS,-0.309626860764165,-0.309626860764165,0,0
2017-06-19,BEST,-0.4235037773292223,-0.4235037773292223,0,0
2017-06-20,DCTH,-0.39042079669649543,-0.39042079669649543,0,0
2017-07-07,LIVE,0.7363345693739012,0.7363345693739012,1,1
2017-07-08,HERO,0.3967253376188935,0.3967253376188935,1,1
2017-07-10,CARA,0.04733578188459164,0.04733578188459164,0,0
2017-07-13,LIVE,0.19806052110369854,0.19806052110369854,1,1
2017-07-27,LIVE,-0.920504656348752,-0.920504656348752,1,1
2017-07-31,AAPL,-0.1579231822897544,0.8481812938137494,1,1
2017-07-31,ADMP,-0.1579231822897544,-0.6808275036128484,0,0
2017-07-31,AMGN,-0.1579231822897544,0.9735808105581463,1,1
2017-07-31,AMZN,-0.1579231822897544,0.836741164142653,0,0
2017-07-31,CLVS,-0.1579231822897544,-0.8368287318811876,0,0
2017-07-31,EXEL,-0.1579231822897544,0.40925021426894825,1,1
2017-07-31,FLY,-0.1579231822897544,-0.7779954836252676,0,0
2017-07-31,GPS,-0.1579231822897544,-0.10383867665886348,0,1
2017-07-31,JNJ,-0.1579231822897544,-0.7701027296900149,1,1
